Port_IDs,Total_PnL,ROI,Win_Rate,Win_Positions,Total_Positions,Sharpe_Ratio,Max_Drawdown,Score
3977234346014419201,2427.2928308600003,36.53049650391913,39.75903614457831,33.0,83.0,0.3047358693024749,0.0,0.46243146460751733
3999240873283311617,42574.47367879,0.0998106441871474,52.32198142414861,2366.0,4522.0,0.2275053343074536,300.81384848999915,0.42474010091652165
3986814617275053313,16337.46188064,0.0922141942289239,78.22172200337648,2780.0,3554.0,0.3297865686167966,2.381947469999432,0.42351616464941344
4020204877254599680,71998.85595307,5.489223576083799e-06,32.94214876033058,1993.0,6050.0,0.0607480336148449,21338.05118777996,0.3983083379444785
4022641794255717633,2176.83382376,0.3484452359767027,43.52280237937872,2634.0,6052.0,0.558737617842448,115.99559387999987,0.3934314602656151
3944088772635000577,7581.491983399999,0.0002177169665607,45.75292759360053,2774.0,6063.0,0.2991410762565469,97.2037250300009,0.3781461371129863
3907081197088384000,18015.99737026,0.0383484275483745,61.39714769156394,2540.0,4137.0,0.2227292925910845,2060.707122380003,0.37787772082079896
3887577207880438784,2417.51403674,0.0052859894130965,47.81818181818182,2893.0,6050.0,0.0879109050720214,577.6136464800004,0.3445255441359175
3931992636670880512,10374.96528998,0.0006798063797304,40.16528925619834,2430.0,6050.0,0.050796275472005,1651.13169996,0.32560559489896684
3956076827719377409,16790.01223802,0.0002589864821665,51.55771195097037,2019.0,3916.0,0.0995280174550005,635.0500145299998,0.3215996603963897
3939925275039085824,2378.8786707,0.0022824883950451,36.23481781376518,2148.0,5928.0,0.2259532814259708,78.62181990000008,0.3145006162224119
4011626972687000576,5483.14982082,0.000449360363314,38.408190224570674,2326.0,6056.0,0.0772567153210278,1133.2432568999998,0.31195173981197366
3983074113875692800,2424.82951996,18.787880072103714,32.55813953488372,14.0,43.0,0.3601986096820707,0.0,0.30931587627899865
4021243448368889856,1498.1937578999998,0.0030433908907797,37.85123966942149,2290.0,6050.0,0.0947070259920014,490.49299994,0.30396328115252014
3891020560590657281,2856.30056379,6.798005741097196,64.75972540045767,283.0,437.0,0.4324770259531958,0.0,0.2974465696701618
4023697433751327232,2408.2239999800004,22.824928756774167,9.523809523809524,4.0,42.0,0.300159343090048,0.0,0.29104464284730774
4017263283405469185,7141.36641939,5.796697733273648e-06,33.6198347107438,2034.0,6050.0,0.0300901179180766,4788.433923359992,0.28191042641693514
3960874214179953664,19567.47128569,6.322932260491563e-06,51.56838143036386,1233.0,2391.0,0.1629478150253227,2233.99999999,0.28059021476922674
4000877324693233921,-836.1005588599955,-0.0007930580130922,44.8595041322314,2714.0,6050.0,-0.0023272441536932,14682.679015479996,0.2800090759614874
3784403294629753856,2521.81430468,0.0007161950640528,30.23140495867769,1829.0,6050.0,0.1065850660192593,271.29198097000017,0.27828668017774866
3886752488982104320,7195.178324640001,3.610894846075512e-05,74.5396317053643,931.0,1249.0,0.2217135876666527,38.20810000000006,0.2778836198317134
3788465932399412480,13960.96645667,0.0015752949339303,44.60736396220268,1369.0,3069.0,0.1529121487794576,1772.2194397900005,0.2699177447502123
4029506971304830209,2413.65400002,21.96793879170645,5.769230769230769,3.0,52.0,0.2449072445195264,1.2715041199999175,0.2697929039501339
3942630767220672256,6611.89848042,0.0001077227709668,38.29744415375327,1903.0,4969.0,0.0679796900177561,6083.72668798,0.26906006593919535
3999845462424248576,5843.152606810001,0.0003177757461962,43.49005424954792,1443.0,3318.0,0.2259346608054272,325.7692295799984,0.26831621840150266
3943533600390906881,2361.42457205,0.0001994893255377,54.80386583285958,964.0,1759.0,0.4280792022224632,32.30352141000003,0.266498853736777
4030708912786799105,1612.84376999,23.212538184531752,3.333333333333333,2.0,60.0,0.1841410886840754,0.0,0.2655928233758926
3946087913459823360,-40.66724167,-0.0015858370394004,31.71733771569433,1930.0,6085.0,-0.0057084940040314,453.51285960000007,0.263697172036251
3988187872032603905,2599.76167062,0.0001517960585484,32.665139366170294,1711.0,5238.0,0.0937031213134881,1194.03312924,0.26168852347011606
3977078013600312321,4622.351437599999,2.309399269630664e-05,32.64248704663213,1638.0,5018.0,0.0896288816254002,753.4702992500004,0.26078527092773085
3987739404272887297,12464.6063154,0.0258579622300191,22.826446280991732,1381.0,6050.0,0.0498825024111063,3386.656093979994,0.257914780099209
4004713168329653760,1667.19861,19.885896738985725,7.4074074074074066,2.0,27.0,0.2774111120701024,0.0,0.25785987432036156
3878631538480067329,3921.233041160001,0.000139366094029,50.337958022056206,1415.0,2811.0,0.1560663569165325,1039.842192440001,0.25628497477468315
3949214983441029120,1317.5775589599998,1.6510011912467492e-05,36.9757174392936,1675.0,4530.0,0.0587696018553969,131.15652971999998,0.2516482519908717
3956048468100538880,1373.56489,2.4344745105614923e-05,71.42857142857143,20.0,28.0,0.524861880311556,0.0,0.2470098955381143
3826087012661391104,532.65697373,0.0028019605630007,58.333333333333336,63.0,108.0,0.6751014185094156,12.925980130000028,0.24329021371823148
3993222640082269952,1884.46844302,5.629905351575466e-05,46.45286686103013,1434.0,3087.0,0.0918828295768644,314.1775242199999,0.24257388339902236
4028701921959171840,17601.40139824,6.203965444355854e-06,54.29403202328966,373.0,687.0,0.2757238783298305,585.6775999300007,0.24206613606272015
3976088733682659585,5901.15009982,0.0002256905538188,43.56787491115849,1226.0,2814.0,0.1407249035844141,1074.721004,0.23972525266029276
3975304792994095360,2536.0810463,0.0655644200016637,42.65791632485644,1040.0,2438.0,0.262565004977466,91.88800600000012,0.23644222958695166
