Port_IDs,Total_PnL,ROI,Win_Rate,Win_Positions,Total_Positions,Sharpe_Ratio,Max_Drawdown
3672754654734989568,566.59765978,6.0664556267159296e-05,44.303797468354425,210.0,474.0,0.18527447769074115,80.77703672000018
3733192481840423936,2923.97719988,5.288870452238546e-06,80.2612481857765,553.0,689.0,0.06026543766319221,2743.12
3768170840939476993,243.66889897,0.04201746331665214,42.857142857142854,6.0,14.0,0.4242774564031249,0.0
3784403294629753856,2521.81430468,0.0007161950640528401,30.231404958677686,1829.0,6050.0,0.10658506601925931,271.29198097000017
3786761687746711808,205.02139999,7.330495687572697e-06,45.1219512195122,37.0,82.0,0.2151504978408805,123.46026665
3788465932399412480,13960.966456670001,0.0015752949339303286,44.607363962202676,1369.0,3069.0,0.15291214877945766,1772.2194397900003
3818233536529843712,6419.607907139999,7.725751035043567e-05,33.919774806474315,482.0,1421.0,0.15428219254946454,2036.5375697500006
3819545518395756033,980.06319996,1.0669601629706229e-05,38.23529411764706,26.0,68.0,0.21472291715119343,0.0
3826087012661391104,532.65697373,0.0028019605630007303,58.333333333333336,63.0,108.0,0.6751014185094156,12.925980130000028
3858510226868015873,-280.97295039,-1.039118794491097e-05,24.397590361445783,243.0,996.0,-0.013558252740182589,827.30973014
3865845304835489536,1406.06618669,0.07919899466585002,51.13378684807256,451.0,882.0,0.24357476133916586,78.66142699000001
3878631538480067329,3921.2330411600005,0.00013936609402903904,50.337958022056206,1415.0,2811.0,0.1560663569165325,1039.8421924400013
3879821005658659073,4268.00656095,0.000152595456495829,33.142201834862384,289.0,872.0,0.13094012831820384,1961.0298660699996
3880920727367689984,-176.82699999000002,-3.6832869004227756e-06,33.793103448275865,49.0,145.0,-0.03862775677475677,609.39066665
3886752488982104320,7195.178324640001,3.610894846075512e-05,74.5396317053643,931.0,1249.0,0.2217135876666527,38.20810000000006
3887577207880438784,2417.51403674,0.0052859894130965895,47.81818181818182,2893.0,6050.0,0.08791090507202144,577.6136464800004
3891020560590657281,2856.30056379,6.798005741097196,64.75972540045767,283.0,437.0,0.4324770259531958,0.0
3907081197088384000,18015.997370259996,0.03834842754837453,61.39714769156394,2540.0,4137.0,0.2227292925910845,2060.707122380003
3910887259807777281,1803.3020100100002,2.12260618804658e-05,22.666666666666664,17.0,75.0,0.10829621222172861,663.3218999799999
3910983669796782848,6761.648048249999,0.00010367492679692752,42.8125,274.0,640.0,0.33103886186548676,201.72342223000032
3911997667197443328,605.72231024,0.00010674956200691074,46.875,30.0,64.0,0.17285573562279435,229.55157354000002
3914654298562589441,343.47044905000075,4.288493882798596e-06,41.40786749482402,200.0,483.0,0.010976836334010422,3893.0689187699995
3919174299855478272,1456.3718076200003,4.5945420311952965e-06,48.06629834254144,609.0,1267.0,0.011491608845265384,9684.34458371
3923766029921022977,772.7290318900001,6.845409569492223e-06,28.51469420174742,359.0,1259.0,0.07238099702504483,205.53265760000016
3925368433214965504,6789.436738630001,2.70650009427846e-05,33.33333333333333,486.0,1458.0,0.2748734037095989,162.05753631999778
3926423286576838657,1309.4599595900002,6.741570539611521e-06,34.10041841004184,163.0,478.0,0.050259836011489194,1119.0932
3930688517098515713,1947.24457347,6.426712961232311e-06,48.61111111111111,140.0,288.0,0.06311486826947774,1193.9074265099998
3931992636670880512,10374.96528998,0.0006798063797304075,40.16528925619834,2430.0,6050.0,0.050796275472005006,1651.1316999599999
3932103299427844097,3860.3097053499996,7.186687179599851e-06,30.050212437234453,778.0,2589.0,0.0833221058818555,669.4568359399998
3935808725185052672,2301.9641228599994,1.0574493433702405e-05,35.10204081632653,602.0,1715.0,0.06325386386802202,1394.9714398600001
3936410995029308417,10681.514000000001,2.8449394633615904e-05,30.0,6.0,20.0,0.29898370047919265,0.0
3937714876784951296,1117.5308932100006,2.843489192022585e-06,39.33463796477495,201.0,511.0,0.016314451097396952,3858.82450985
3939318616482048768,9775.389109840002,0.00030930480522096455,37.46031746031746,118.0,315.0,0.2038294609803751,87.00335997999991
3939925275039085824,2378.8786707,0.0022824883950451048,36.23481781376518,2148.0,5928.0,0.22595328142597082,78.62181990000008
3941019213896463617,4234.087790029999,8.809656624511503e-06,49.107142857142854,55.0,112.0,0.08777363799755793,4944.99999998
3942630767220672256,6611.89848042,0.00010772277096689911,38.29744415375327,1903.0,4969.0,0.06797969001775618,6083.72668798
3943533600390906881,2361.4245720499994,0.00019948932553774066,54.80386583285958,964.0,1759.0,0.42807920222246326,32.30352141000003
3944088772635000577,7581.491983399999,0.00021771696656074443,45.75292759360053,2774.0,6063.0,0.29914107625654696,97.2037250300009
3944239644144231424,-1187.8909756799994,-3.864958612824156e-06,26.456876456876454,227.0,858.0,-0.023731314255788376,5867.434541539999
3944658614777849089,2074.4499799600003,7.029503738833924e-05,44.44444444444444,20.0,45.0,0.4074903672652917,0.0
3946087913459823360,-40.667241669999996,-0.0015858370394004756,31.71733771569433,1930.0,6085.0,-0.005708494004031481,453.51285960000007
3949214983441029120,1317.5775589599998,1.6510011912467492e-05,36.9757174392936,1675.0,4530.0,0.05876960185539697,131.15652971999998
3949329502284748801,425.96505789,2.7518289803095126e-05,18.75,72.0,384.0,0.13607138346451803,44.74980000999997
3951723256343550465,5260.022863890001,2.8872647528782083e-05,35.24804177545692,1215.0,3447.0,0.05837825364318928,1073.1449283800025
3952087967771302912,1032.60525986,1.4760146161734555e-05,33.72093023255814,58.0,172.0,0.1736691732688759,0.0
3953433416230728705,4924.761779980001,7.163999258197271e-06,20.872865275142317,110.0,527.0,0.1671040266501724,675.6869999
