Port_IDs,Total_PnL,ROI,Win_Rate,Win_Positions,Total_Positions,Sharpe_Ratio,Max_Drawdown,Score
3977234346014419201,2427.2928308600003,36.53049650391913,39.75903614457831,33.0,83.0,0.3047358693024749,0.0,0.46243146460751733
3999240873283311617,42574.47367879,0.0998106441871474,52.32198142414861,2366.0,4522.0,0.2275053343074536,300.81384848999915,0.42474010091652165
3986814617275053313,16337.46188064,0.0922141942289239,78.22172200337648,2780.0,3554.0,0.3297865686167966,2.381947469999432,0.42351616464941344
4020204877254599680,71998.85595307,5.489223576083799e-06,32.94214876033058,1993.0,6050.0,0.0607480336148449,21338.05118777996,0.3983083379444785
4022641794255717633,2176.83382376,0.3484452359767027,43.52280237937872,2634.0,6052.0,0.558737617842448,115.99559387999987,0.3934314602656151
3944088772635000577,7581.491983399999,0.0002177169665607,45.75292759360053,2774.0,6063.0,0.2991410762565469,97.2037250300009,0.3781461371129863
3907081197088384000,18015.99737026,0.0383484275483745,61.39714769156394,2540.0,4137.0,0.2227292925910845,2060.707122380003,0.37787772082079896
3887577207880438784,2417.51403674,0.0052859894130965,47.81818181818182,2893.0,6050.0,0.0879109050720214,577.6136464800004,0.3445255441359175
3931992636670880512,10374.96528998,0.0006798063797304,40.16528925619834,2430.0,6050.0,0.050796275472005,1651.13169996,0.32560559489896684
3956076827719377409,16790.01223802,0.0002589864821665,51.55771195097037,2019.0,3916.0,0.0995280174550005,635.0500145299998,0.3215996603963897
3939925275039085824,2378.8786707,0.0022824883950451,36.23481781376518,2148.0,5928.0,0.2259532814259708,78.62181990000008,0.3145006162224119
4011626972687000576,5483.14982082,0.000449360363314,38.408190224570674,2326.0,6056.0,0.0772567153210278,1133.2432568999998,0.31195173981197366
3983074113875692800,2424.82951996,18.787880072103714,32.55813953488372,14.0,43.0,0.3601986096820707,0.0,0.30931587627899865
4021243448368889856,1498.1937578999998,0.0030433908907797,37.85123966942149,2290.0,6050.0,0.0947070259920014,490.49299994,0.30396328115252014
3891020560590657281,2856.30056379,6.798005741097196,64.75972540045767,283.0,437.0,0.4324770259531958,0.0,0.2974465696701618
4023697433751327232,2408.2239999800004,22.824928756774167,9.523809523809524,4.0,42.0,0.300159343090048,0.0,0.29104464284730774
4017263283405469185,7141.36641939,5.796697733273648e-06,33.6198347107438,2034.0,6050.0,0.0300901179180766,4788.433923359992,0.28191042641693514
3960874214179953664,19567.47128569,6.322932260491563e-06,51.56838143036386,1233.0,2391.0,0.1629478150253227,2233.99999999,0.28059021476922674
4000877324693233921,-836.1005588599955,-0.0007930580130922,44.8595041322314,2714.0,6050.0,-0.0023272441536932,14682.679015479996,0.2800090759614874
3784403294629753856,2521.81430468,0.0007161950640528,30.23140495867769,1829.0,6050.0,0.1065850660192593,271.29198097000017,0.27828668017774866
